canonical,slug,aliases
nhà,nha,nhà|căn nhà|ngôi nhà|nhà cửa|nhà em
con gà,con-ga,con gà|gà|gà con|gà trống
con mèo,con-meo,con mèo|mèo|mèo con|con mèo con
rình mò,rinh-mo,rình mò|rình|rình rập|dòm ngó
chăm chỉ,cham-chi,chăm chỉ|siêng|siêng năng|cần cù|chăm
đứng im,dung-im,đứng im|im|đứng yên
